dataset,query_dist,num_queries,prop_train,size,fpr,insert_time,amortized_query
ember,onepass,800000,0.25000000000000,539890,0.00592715931260,264099,0.45019000000000
ember,onepass,800000,0.25000000000000,539890,0.00574925493335,261947,0.44683625000000
ember,onepass,800000,0.25000000000000,539890,0.00553914695148,261739,0.44677875000000
ember,unif,10000000,0.25000000000000,539890,0.00578980806128,287595,0.44717190000000
ember,unif,10000000,0.25000000000000,539890,0.00580542089749,287824,0.44849140000000
ember,unif,10000000,0.25000000000000,539890,0.00558818055871,287846,0.44719720000000
ember,zipf,10000000,0.25000000000000,539890,0.00208528358657,256691,0.53742240000000
ember,zipf,10000000,0.25000000000000,539890,0.00089377973905,256349,0.53178040000000
ember,zipf,10000000,0.25000000000000,539890,0.00089320841377,256622,0.53080970000000
ember,onepass,800000,0.25000000000000,606338,0.00299599702893,286167,0.47740500000000
ember,onepass,800000,0.25000000000000,606338,0.00297363114511,283916,0.47844500000000
ember,onepass,800000,0.25000000000000,606338,0.00325934195182,284108,0.47686750000000
ember,unif,10000000,0.25000000000000,606338,0.00308436743559,309193,0.47770170000000
ember,unif,10000000,0.25000000000000,606338,0.00301461499222,309546,0.47610880000000
ember,unif,10000000,0.25000000000000,606338,0.00296393401838,317531,0.47571750000000
ember,zipf,10000000,0.25000000000000,606338,0.00020428635110,278296,0.57729290000000
ember,zipf,10000000,0.25000000000000,606338,0.00057144851043,279208,0.57991780000000
ember,zipf,10000000,0.25000000000000,606338,0.00014764387839,278607,0.57410580000000
ember,onepass,800000,0.25000000000000,672786,0.00163233113859,307876,0.50303000000000
ember,onepass,800000,0.25000000000000,672786,0.00156504678916,305705,0.50240875000000
ember,onepass,800000,0.25000000000000,672786,0.00154510894391,305633,0.50274750000000
ember,unif,10000000,0.25000000000000,672786,0.00159778274706,330856,0.50494350000000
ember,unif,10000000,0.25000000000000,672786,0.00155632577755,332015,0.50575500000000
ember,unif,10000000,0.25000000000000,672786,0.00178947645739,332147,0.50490610000000
ember,zipf,10000000,0.25000000000000,672786,0.00009099498726,300662,0.62149420000000
ember,zipf,10000000,0.25000000000000,672786,0.00023918407332,300122,0.62423400000000
ember,zipf,10000000,0.25000000000000,672786,0.00004578571142,300655,0.62150520000000
ember,onepass,800000,0.25000000000000,739234,0.00098652580577,330208,0.53283000000000
ember,onepass,800000,0.25000000000000,739234,0.00095658407075,327917,0.53278250000000
ember,onepass,800000,0.25000000000000,739234,0.00092913590361,328017,0.53367375000000
ember,unif,10000000,0.25000000000000,739234,0.00091150601049,352768,0.53178270000000
ember,unif,10000000,0.25000000000000,739234,0.00087458268542,353936,0.53427050000000
ember,unif,10000000,0.25000000000000,739234,0.00086240736912,354487,0.53145610000000
ember,zipf,10000000,0.25000000000000,739234,0.00003262274882,323332,0.66462850000000
ember,zipf,10000000,0.25000000000000,739234,0.00003262274882,322753,0.67193590000000
ember,zipf,10000000,0.25000000000000,739234,0.00003720120990,324421,0.66492850000000
ember,onepass,800000,0.25000000000000,805682,0.00055469214586,351412,0.56121500000000
ember,onepass,800000,0.25000000000000,805682,0.00053471392805,350371,0.56088375000000
ember,onepass,800000,0.25000000000000,805682,0.00051223747829,351406,0.56093500000000
ember,unif,10000000,0.25000000000000,805682,0.00049361419115,376291,0.56428250000000
ember,unif,10000000,0.25000000000000,805682,0.00051898118219,377514,0.56481250000000
ember,unif,10000000,0.25000000000000,805682,0.00048921977839,375776,0.55988530000000
ember,zipf,10000000,0.25000000000000,805682,0.00001488081611,345557,0.70910610000000
ember,zipf,10000000,0.25000000000000,805682,0.00007325512586,344844,0.71055490000000
ember,zipf,10000000,0.25000000000000,805682,0.00002232105809,345036,0.70614400000000
ember,onepass,800000,0.25000000000000,872130,0.00031739922575,374291,0.59381500000000
ember,onepass,800000,0.25000000000000,872130,0.00033738613218,371998,0.59286375000000
ember,onepass,800000,0.25000000000000,872130,0.00035737223942,373858,0.59338500000000
ember,unif,10000000,0.25000000000000,872130,0.00033758887192,399164,0.59812430000000
ember,unif,10000000,0.25000000000000,872130,0.00034418247667,399459,0.59806600000000
ember,unif,10000000,0.25000000000000,872130,0.00036895766860,399904,0.60003250000000
ember,zipf,10000000,0.25000000000000,872130,0.00001659780485,367633,0.75592050000000
ember,zipf,10000000,0.25000000000000,872130,0.00001774246074,367733,0.75239010000000
ember,zipf,10000000,0.25000000000000,872130,0.00010072303112,366295,0.75389880000000
ember,onepass,800000,0.25000000000000,938578,0.00020745695268,396658,0.62522375000000
ember,onepass,800000,0.25000000000000,938578,0.00021495378494,395173,0.62410000000000
ember,onepass,800000,0.25000000000000,938578,0.00025243625984,395774,0.62395000000000
ember,unif,10000000,0.25000000000000,938578,0.00021948867534,420272,0.62770110000000
ember,unif,10000000,0.25000000000000,938578,0.00024866661523,422148,0.62921170000000
ember,unif,10000000,0.25000000000000,938578,0.00024107252085,421008,0.62464890000000
ember,zipf,10000000,0.25000000000000,938578,0.00000629578394,389371,0.79199060000000
ember,zipf,10000000,0.25000000000000,938578,0.00002575497858,388691,0.79385670000000
ember,zipf,10000000,0.25000000000000,938578,0.00002804424581,388194,0.79576280000000
url,onepass,162798,0.25000000000000,69160,0.00814388142212,37635,0.40510939937837
url,onepass,162798,0.25000000000000,69160,0.00753631258991,37363,0.40472241673731
url,onepass,162798,0.25000000000000,69160,0.00773891822172,37336,0.40496197741987
url,unif,10000000,0.25000000000000,69160,0.00747730314497,44155,0.40517130000000
url,unif,10000000,0.25000000000000,69160,0.00715577299248,43443,0.40511870000000
url,unif,10000000,0.25000000000000,69160,0.00723201858774,43460,0.40531570000000
url,zipf,10000000,0.25000000000000,69160,0.00023752019454,36646,0.38040760000000
url,zipf,10000000,0.25000000000000,69160,0.00050920519053,36852,0.35247920000000
url,zipf,10000000,0.25000000000000,69160,0.00037290824553,36562,0.31323680000000
url,onepass,162798,0.25000000000000,77672,0.00402365761654,40703,0.42442167594196
url,onepass,162798,0.25000000000000,77672,0.00391232662338,40424,0.42397326748486
url,onepass,162798,0.25000000000000,77672,0.00417206023412,40425,0.42424354107544
url,unif,10000000,0.25000000000000,77672,0.00376067573767,47263,0.42469740000000
url,unif,10000000,0.25000000000000,77672,0.00364768924413,46571,0.42467060000000
url,unif,10000000,0.25000000000000,77672,0.00416594906061,46533,0.42486190000000
url,zipf,10000000,0.25000000000000,77672,0.00104363160159,40149,0.42649040000000
url,zipf,10000000,0.25000000000000,77672,0.00025171105558,39623,0.35403700000000
url,zipf,10000000,0.25000000000000,77672,0.00006708013426,39648,0.32078380000000
url,onepass,162798,0.25000000000000,86184,0.00208107805443,43800,0.44394280028010
url,onepass,162798,0.25000000000000,86184,0.00218350798287,43534,0.44417007579946
url,onepass,162798,0.25000000000000,86184,0.00201588442263,43499,0.44338382535412
url,unif,10000000,0.25000000000000,86184,0.00199053117485,50381,0.44450050000000
url,unif,10000000,0.25000000000000,86184,0.00213854826512,49693,0.44420870000000
url,unif,10000000,0.25000000000000,86184,0.00214687103063,49661,0.44417160000000
url,zipf,10000000,0.25000000000000,86184,0.00007689886970,42796,0.36992130000000
url,zipf,10000000,0.25000000000000,86184,0.00015638803729,42740,0.36041230000000
url,zipf,10000000,0.25000000000000,86184,0.00004282821438,42730,0.49625370000000
url,onepass,162798,0.25000000000000,94696,0.00133550001868,44377,0.44042310102090
url,onepass,162798,0.25000000000000,94696,0.00131684629322,43539,0.43912087372081
url,onepass,162798,0.25000000000000,94696,0.00123289590436,43513,0.43940957505620
url,unif,10000000,0.25000000000000,94696,0.00113471348902,50350,0.44029970000000
url,unif,10000000,0.25000000000000,94696,0.00133436881487,49572,0.44026440000000
url,unif,10000000,0.25000000000000,94696,0.00116428024635,49640,0.44003260000000
url,zipf,10000000,0.25000000000000,94696,0.00001561734292,42781,0.35951680000000
