dataset,query_dist,num_queries,curr_query,size,fpr
ember,unif,10000000,100000,539890,0.00591252359037
ember,unif,10000000,200000,539890,0.00591252359037
ember,unif,10000000,300000,539890,0.00591252359037
ember,unif,10000000,400000,539890,0.00591252359037
ember,unif,10000000,500000,539890,0.00591252359037
ember,unif,10000000,600000,539890,0.00591252359037
ember,unif,10000000,700000,539890,0.00591252359037
ember,unif,10000000,800000,539890,0.00591252359037
ember,unif,10000000,900000,539890,0.00591252359037
ember,unif,10000000,1000000,539890,0.00039235767990
ember,unif,10000000,1100000,539890,0.00039235767990
ember,unif,10000000,1200000,539890,0.00039235767990
ember,unif,10000000,1300000,539890,0.00039235767990
ember,unif,10000000,1400000,539890,0.00039235767990
ember,unif,10000000,1500000,539890,0.00039235767990
ember,unif,10000000,1600000,539890,0.00039235767990
ember,unif,10000000,1700000,539890,0.00039235767990
ember,unif,10000000,1800000,539890,0.00039235767990
ember,unif,10000000,1900000,539890,0.00039235767990
ember,unif,10000000,2000000,539890,0.00040066960784
ember,unif,10000000,2100000,539890,0.00040066960784
ember,unif,10000000,2200000,539890,0.00040066960784
ember,unif,10000000,2300000,539890,0.00040066960784
ember,unif,10000000,2400000,539890,0.00040066960784
ember,unif,10000000,2500000,539890,0.00040066960784
ember,unif,10000000,2600000,539890,0.00040066960784
ember,unif,10000000,2700000,539890,0.00040066960784
ember,unif,10000000,2800000,539890,0.00040066960784
ember,unif,10000000,2900000,539890,0.00040066960784
ember,unif,10000000,3000000,539890,0.00037001943052
ember,unif,10000000,3100000,539890,0.00037001943052
ember,unif,10000000,3200000,539890,0.00037001943052
ember,unif,10000000,3300000,539890,0.00037001943052
ember,unif,10000000,3400000,539890,0.00037001943052
ember,unif,10000000,3500000,539890,0.00037001943052
ember,unif,10000000,3600000,539890,0.00037001943052
ember,unif,10000000,3700000,539890,0.00037001943052
ember,unif,10000000,3800000,539890,0.00037001943052
ember,unif,10000000,3900000,539890,0.00037001943052
ember,unif,10000000,4000000,539890,0.00037982148390
ember,unif,10000000,4100000,539890,0.00037982148390
ember,unif,10000000,4200000,539890,0.00037982148390
