dataset,query_dist,num_queries,curr_query,size,fpr
ember,unif,10000000,100000,539890,0.00580048017957
ember,unif,10000000,200000,539890,0.00580048017957
ember,unif,10000000,300000,539890,0.00580048017957
ember,unif,10000000,400000,539890,0.00580048017957
ember,unif,10000000,500000,539890,0.00580048017957
ember,unif,10000000,600000,539890,0.00580048017957
ember,unif,10000000,700000,539890,0.00580048017957
ember,unif,10000000,800000,539890,0.00580048017957
ember,unif,10000000,900000,539890,0.00580048017957
ember,unif,10000000,1000000,539890,0.00040354625012
ember,unif,10000000,1100000,539890,0.00040354625012
ember,unif,10000000,1200000,539890,0.00040354625012
ember,unif,10000000,1300000,539890,0.00040354625012
ember,unif,10000000,1400000,539890,0.00040354625012
ember,unif,10000000,1500000,539890,0.00040354625012
ember,unif,10000000,1600000,539890,0.00040354625012
ember,unif,10000000,1700000,539890,0.00040354625012
ember,unif,10000000,1800000,539890,0.00040354625012
ember,unif,10000000,1900000,539890,0.00040354625012
ember,unif,10000000,2000000,539890,0.00037669841525
ember,unif,10000000,2100000,539890,0.00037669841525
ember,unif,10000000,2200000,539890,0.00037669841525
ember,unif,10000000,2300000,539890,0.00037669841525
ember,unif,10000000,2400000,539890,0.00037669841525
ember,unif,10000000,2500000,539890,0.00037669841525
ember,unif,10000000,2600000,539890,0.00037669841525
ember,unif,10000000,2700000,539890,0.00037669841525
ember,unif,10000000,2800000,539890,0.00037669841525
ember,unif,10000000,2900000,539890,0.00037669841525
ember,unif,10000000,3000000,539890,0.00043655788500
ember,unif,10000000,3100000,539890,0.00043655788500
ember,unif,10000000,3200000,539890,0.00043655788500
ember,unif,10000000,3300000,539890,0.00043655788500
ember,unif,10000000,3400000,539890,0.00043655788500
ember,unif,10000000,3500000,539890,0.00043655788500
ember,unif,10000000,3600000,539890,0.00043655788500
ember,unif,10000000,3700000,539890,0.00043655788500
ember,unif,10000000,3800000,539890,0.00043655788500
ember,unif,10000000,3900000,539890,0.00043655788500
ember,unif,10000000,4000000,539890,0.00038022114397
ember,unif,10000000,4100000,539890,0.00038022114397
ember,unif,10000000,4200000,539890,0.00038022114397
ember,unif,10000000,4300000,539890,0.00038022114397
ember,unif,10000000,4400000,539890,0.00038022114397
ember,unif,10000000,4500000,539890,0.00038022114397
ember,unif,10000000,4600000,539890,0.00038022114397
ember,unif,10000000,4700000,539890,0.00038022114397
ember,unif,10000000,4800000,539890,0.00038022114397
ember,unif,10000000,4900000,539890,0.00038022114397
ember,unif,10000000,5000000,539890,0.00039215898017
ember,unif,10000000,5100000,539890,0.00039215898017
ember,unif,10000000,5200000,539890,0.00039215898017
ember,unif,10000000,5300000,539890,0.00039215898017
ember,unif,10000000,5400000,539890,0.00039215898017
ember,unif,10000000,5500000,539890,0.00039215898017
ember,unif,10000000,5600000,539890,0.00039215898017
ember,unif,10000000,5700000,539890,0.00039215898017
ember,unif,10000000,5800000,539890,0.00039215898017
ember,unif,10000000,5900000,539890,0.00039215898017
ember,unif,10000000,6000000,539890,0.00042511489200
ember,unif,10000000,6100000,539890,0.00042511489200
ember,unif,10000000,6200000,539890,0.00042511489200
ember,unif,10000000,6300000,539890,0.00042511489200
ember,unif,10000000,6400000,539890,0.00042511489200
ember,unif,10000000,6500000,539890,0.00042511489200
ember,unif,10000000,6600000,539890,0.00042511489200
ember,unif,10000000,6700000,539890,0.00042511489200
ember,unif,10000000,6800000,539890,0.00042511489200
ember,unif,10000000,6900000,539890,0.00042511489200
ember,unif,10000000,7000000,539890,0.00038401520700
ember,unif,10000000,7100000,539890,0.00038401520700
ember,unif,10000000,7200000,539890,0.00038401520700
ember,unif,10000000,7300000,539890,0.00038401520700
ember,unif,10000000,7400000,539890,0.00038401520700
ember,unif,10000000,7500000,539890,0.00038401520700
ember,unif,10000000,7600000,539890,0.00038401520700
ember,unif,10000000,7700000,539890,0.00038401520700
ember,unif,10000000,7800000,539890,0.00038401520700
ember,unif,10000000,7900000,539890,0.00038401520700
ember,unif,10000000,8000000,539890,0.00035271711148
ember,unif,10000000,8100000,539890,0.00035271711148
ember,unif,10000000,8200000,539890,0.00035271711148
ember,unif,10000000,8300000,539890,0.00035271711148
ember,unif,10000000,8400000,539890,0.00035271711148
ember,unif,10000000,8500000,539890,0.00035271711148
ember,unif,10000000,8600000,539890,0.00035271711148
ember,unif,10000000,8700000,539890,0.00035271711148
ember,unif,10000000,8800000,539890,0.00035271711148
ember,unif,10000000,8900000,539890,0.00035271711148
ember,unif,10000000,9000000,539890,0.00040827000683
ember,unif,10000000,9100000,539890,0.00040827000683
ember,unif,10000000,9200000,539890,0.00040827000683
ember,unif,10000000,9300000,539890,0.00040827000683
