dataset,filter,bytes,query_dist,num_queries,construct_time,train_time,model_accuracy,initial_scores,segment_division,t_f_finding,insert_scores,bloom_init,region_finding,filter_inserts,fpr,throughput,med_pos_time,med_neg_time,med_score_time,med_region_time,med_back_filter_time
url,plbf,271584.0,unif,10000000,0.0001442432403564,2.023365497589112,0.9419,0.2310700416564941,0.0768671035766601,3.2480015754699707,0.0049033665870708,0.0001149177551269,4.996766312895949e-07,4.160354544638263e-05,0.3097553274436647,203.8611686695269,0.0048735664741221,0.0049217901629556,0.0048539733341455,1.8270133256912231e-06,4.949871721267701e-05
url,plbf,271440.0,unif,10000000,0.0001442432403564,2.0233654975891118,0.9419,0.22321319580078125,0.07706904411315918,3.285845994949341,274.03403329849243,0.00010085105895996094,0.029436111450195312,0.8433449268341064,0.3285126816363887,204.03142013687219,0.004852771759033203,0.0048999786376953125,0.004835844039916992,1.9073486328125e-06,4.601478576660156e-05
