dataset,size,fpr,throughput,num_queries,query_dist
url,299069,2.9848864008202466e-06,0.0039642607288515,10000000,zipf
url,299069,1.3804950231288884e-05,0.0039747113983266,10000000,zipf
url,299069,1.3804950231288884e-05,0.0044823604323704,10000000,zipf
url,299069,2.9848864008202466e-06,0.0040217468839576,10000000,zipf
url,299069,1.3804950231288884e-05,0.004364716208531,10000000,zipf
url,265661,9.327710837979156e-06,0.0038638954921465,10000000,zipf
url,265661,4.1042142071479e-06,0.0039195422097184,10000000,zipf
url,265661,1.3804950231288884e-05,0.0041960505011198,10000000,zipf
url,232253,5.223539507681401e-06,0.0039826927491079,10000000,zipf
url,232253,2.9848864008202466e-06,0.0039884113762225,10000000,zipf
url,232253,4.477322919080224e-06,0.0039922688169499,10000000,zipf
url,198845,2.9848864008202466e-06,0.0036681793664343,10000000,zipf
url,198845,2.9848864008202466e-06,0.0033423905845284,10000000,zipf
url,198845,4.1042142071479e-06,0.0033373013070441,10000000,zipf
url,165437,2.9848864008202466e-06,0.0037357269390726738,10000000,zipf
url,165437,2.9848864008202466e-06,0.003379986090197586,10000000,zipf
url,165437,2.9848864008202466e-06,0.0033569986989171303,10000000,zipf
