dataset,filter,bytes,num_queries,freq,fpr
url,plbf,271584.0,10000000,0.02,0.0401164471328602
url,plbf,271584.0,10000000,0.04,0.0673304093766028
url,plbf,271584.0,10000000,0.06,0.1027503500408452
url,plbf,271584.0,10000000,0.08,0.1334479943686818
url,plbf,271584.0,10000000,0.1,0.1579588454105636
url,adabf,271584.0,10000000,0.02,0.0426091455053651
url,adabf,271584.0,10000000,0.04,0.0696330241201762
url,adabf,271584.0,10000000,0.06,0.1048207094958751
url,adabf,271584.0,10000000,0.08,0.1352794755144906
url,adabf,271584.0,10000000,0.1,0.1596638060916768
url,plbf,304992.0,10000000,0.02,0.0304826319548707
url,plbf,304992.0,10000000,0.04,0.0584655436614463
url,plbf,304992.0,10000000,0.06,0.0948448193189784
url,plbf,304992.0,10000000,0.08,0.1263105481876958
url,plbf,304992.0,10000000,0.1,0.1514501121040938
url,adabf,304992.0,10000000,0.02,0.0305327989820213
url,adabf,304992.0,10000000,0.04,0.0585119590896798
url,adabf,304992.0,10000000,0.06,0.0948881593362721
url,adabf,304992.0,10000000,0.08,0.1263475985455988
url,adabf,304992.0,10000000,0.1,0.1514835045281224
url,adabf,338400.0,10000000,0.02,0.030462846347607
url,adabf,338400.0,10000000,0.04,0.0584472135813137
url,adabf,338400.0,10000000,0.06,0.0948298114203626
url,adabf,338400.0,10000000,0.08,0.1262959918301538
url,adabf,338400.0,10000000,0.1,0.1514366516453516
ember,plbf,1075360.0,10000000,0.02,0.05545948819974873
ember,plbf,1075360.0,10000000,0.04,0.08866224710523858
ember,plbf,1075360.0,10000000,0.06,0.13029341973723357
ember,plbf,1075360.0,10000000,0.08,0.1649286487938872
ember,plbf,1075360.0,10000000,0.1,0.1918035834130107
ember,adabf,1075360.0,10000000,0.02,0.07185693403215905
ember,adabf,1075360.0,10000000,0.04,0.1034113169959043
ember,adabf,1075360.0,10000000,0.06,0.14308887803868553
ember,adabf,1075360.0,10000000,0.08,0.17622196791335581
ember,adabf,1075360.0,10000000,0.1,0.201949612988077
ember,plbf,1207712.0,10000000,0.02,0.042164603877738016
ember,plbf,1207712.0,10000000,0.04,0.07671005840818813
ember,plbf,1207712.0,10000000,0.06,0.11993288772490866
ember,plbf,1207712.0,10000000,0.08,0.15584688612828687
ember,plbf,1207712.0,10000000,0.1,0.18360125645236347
ember,adabf,1207712.0,10000000,0.02,0.042102425188246556
ember,adabf,1207712.0,10000000,0.04,0.07665556790064598
ember,adabf,1207712.0,10000000,0.06,0.1198753528922173
ember,adabf,1207712.0,10000000,0.08,0.1557977881399305
ember,adabf,1207712.0,10000000,0.1,0.183557303511662
ember,plbf,1340064.0,10000000,0.02,0.039823211892594135
ember,plbf,1340064.0,10000000,0.04,0.07460924650064335
ember,plbf,1340064.0,10000000,0.06,0.11810792029765758
ember,plbf,1340064.0,10000000,0.08,0.1542427463626113
ember,plbf,1340064.0,10000000,0.1,0.1821680410617802
ember,adabf,1340064.0,10000000,0.02,0.0399506810037999
ember,adabf,1340064.0,10000000,0.04,0.07472429186842165
ember,adabf,1340064.0,10000000,0.06,0.11821169073044807
ember,adabf,1340064.0,10000000,0.08,0.15433167848794255
ember,adabf,1340064.0,10000000,0.1,0.18224720845295445
ember,plbf,1472416.0,10000000,0.02,0.039384032986540654
ember,plbf,1472416.0,10000000,0.04,0.07421475246615145
ember,plbf,1472416.0,10000000,0.06,0.11776610346312877
ember,plbf,1472416.0,10000000,0.08,0.15394226711272813
ember,plbf,1472416.0,10000000,0.1,0.18189678249973934
ember,adabf,1472416.0,10000000,0.02,0.039462648603191146
ember,adabf,1472416.0,10000000,0.04,0.07428647376326176
ember,adabf,1472416.0,10000000,0.06,0.11783030507784756
ember,adabf,1472416.0,10000000,0.08,0.15399769622460732
ember,adabf,1472416.0,10000000,0.1,0.18194579122332014
ember,plbf,1604768.0,10000000,0.02,0.039249904923700916
ember,plbf,1604768.0,10000000,0.04,0.07409464375876502
ember,plbf,1604768.0,10000000,0.06,0.11766339049952698
ember,plbf,1604768.0,10000000,0.08,0.15385299275924752
ember,plbf,1604768.0,10000000,0.1,0.18181457264523476
ember,adabf,1604768.0,10000000,0.02,0.039344268464205245
ember,adabf,1604768.0,10000000,0.04,0.07417888764988383
ember,adabf,1604768.0,10000000,0.06,0.11773690461508367
ember,adabf,1604768.0,10000000,0.08,0.15391676207690608
ember,adabf,1604768.0,10000000,0.1,0.1818728707727368
